date,stock_code,margin_balance,margin_buy,margin_repay,short_volume
2023-12-15,688017,307536380.0,13040810.0,34848924.0,1801150.0
2023-12-15,688019,214698415.0,3160806.0,7570622.0,741832.0
2023-12-15,688041,1755269193.0,164353661.0,139508941.0,16272809.0
2023-12-15,688110,537543410.0,15161098.0,13015655.0,2613379.0
2023-12-15,688123,276487422.0,53256785.0,47678829.0,964106.0
2023-12-15,688126,587586339.0,3130483.0,8122744.0,6687784.0
2023-12-15,688160,99031517.0,12949903.0,14270756.0,800.0
2023-12-15,688256,1221368659.0,72588927.0,97003618.0,2661138.0
2023-12-15,688320,106794999.0,7062817.0,17196085.0,411881.0
2023-12-15,688396,735490225.0,3825274.0,10450016.0,6345936.0
2023-12-15,688498,192241799.0,26257328.0,17579921.0,394287.0
2023-12-15,688525,161759928.0,20037484.0,27008468.0,1967801.0
2023-12-15,688676,41421413.0,3043232.0,2514282.0,1416594.0
2023-12-15,688728,182317538.0,5870072.0,6032801.0,11267407.0
2023-12-15,688766,162138737.0,12372693.0,5995751.0,44270.0
2023-12-15,688981,3316210494.0,53218806.0,92225366.0,4049165.0
2024-01-15,600183,567696054.0,6439057.0,20609946.0,444500.0
2024-01-15,600406,534411415.0,4702153.0,10851852.0,465080.0
2024-01-15,600584,1699139806.0,22660632.0,30877749.0,621240.0
2024-01-15,600703,5087007813.0,20025176.0,19355945.0,3719951.0
2024-01-15,600745,2858210424.0,45758125.0,74396636.0,366200.0
2024-01-15,600900,7106549399.0,87190466.0,58941684.0,4192280.0
2024-01-15,601138,1062475551.0,35921574.0,48927678.0,705000.0
2024-01-15,601985,961402026.0,36237958.0,32760470.0,3118800.0
2024-01-15,603019,3811558506.0,210321478.0,184766017.0,1324347.0
2024-01-15,603083,802064374.0,13509624.0,21454616.0,277400.0
2024-01-15,603501,1465692316.0,16409380.0,12701470.0,580249.0
2024-01-15,603986,2651081841.0,73763719.0,58816989.0,1283967.0
2024-01-15,605358,947927243.0,18424714.0,9024548.0,632471.0
2024-01-15,688008,775538560.0,28100693.0,27416410.0,3134404.0
2024-01-15,688012,1181797543.0,64158457.0,69622799.0,712761.0
2024-01-15,688017,290627171.0,19131344.0,14472683.0,1853941.0
2024-01-15,688019,201102438.0,8203568.0,7064629.0,625514.0
2024-01-15,688041,1720660013.0,75478182.0,91220045.0,15991189.0
2024-01-15,688110,565771548.0,6820918.0,4423135.0,3108862.0
2024-01-15,688123,261232418.0,7856664.0,7527941.0,1110636.0
2024-01-15,688126,580247825.0,9179410.0,6374887.0,5040311.0
2024-01-15,688160,103925978.0,8444951.0,5413115.0,7278.0
2024-01-15,688256,910954597.0,79713929.0,65102185.0,1529783.0
2024-01-15,688320,125810208.0,8721335.0,6152168.0,357645.0
2024-01-15,688396,680325373.0,6571923.0,14566493.0,4853919.0
2024-01-15,688498,248876084.0,27440134.0,40303864.0,373142.0
2024-01-15,688525,270955697.0,24941946.0,29433328.0,562327.0
2024-01-15,688676,77561539.0,39313009.0,9060437.0,1371658.0
2024-01-15,688728,166021225.0,2598384.0,1666727.0,14436605.0
2024-01-15,688766,153873070.0,2797567.0,6779886.0,72009.0
2024-01-15,688981,3296181551.0,62655037.0,74868609.0,3873438.0
2024-03-15,600183,501596300.0,9556329.0,8797114.0,86000.0
2024-03-15,600406,466986078.0,27142105.0,16754922.0,317963.0
2024-03-15,600584,1739657236.0,51255393.0,55747558.0,313331.0
2024-03-15,600703,4850652516.0,31590618.0,51444033.0,875100.0
2024-03-15,600745,2628555435.0,61423862.0,83654869.0,172400.0
2024-03-15,600900,7416174839.0,216782697.0,118442780.0,8122056.0
2024-03-15,601138,2928637337.0,1049906021.0,971219457.0,1861598.0
2024-03-15,601985,1176497074.0,101361009.0,224771932.0,1688800.0
2024-03-15,603019,5497299566.0,779069749.0,836846132.0,1347671.0
2024-03-15,603083,1023670536.0,243174844.0,275082884.0,340767.0
